Date,Close
2020-01-02,12.7
2020-01-03,13
2020-01-06,13
2020-01-07,12.9
2020-01-08,12.6
2020-01-09,12.85
2020-01-10,13.15
2020-01-13,13.15
2020-01-14,13.2
2020-01-15,13.15
2020-01-16,13
2020-01-17,13
2020-01-20,12.95
2020-01-30,11.8
2020-01-31,11.75
2020-02-03,11.45
2020-02-04,11.6
2020-02-05,11.7
2020-02-06,11.95
2020-02-07,11.65
2020-02-10,11.5
2020-02-11,11.65
2020-02-12,11.8
2020-02-13,11.9
2020-02-14,11.75
2020-02-17,11.55
2020-02-18,11.8
2020-02-19,11.95
2020-02-20,11.85
2020-02-21,11.75
2020-02-24,11.55
2020-02-25,11.7
2020-02-26,11.6
2020-02-27,11.55
2020-03-02,11.4
2020-03-03,11.4
2020-03-04,11.55
2020-03-05,11.85
2020-03-06,11.7
2020-03-09,11.4
2020-03-10,11.7
2020-03-11,11.55
2020-03-12,11.1
2020-03-13,10.45
2020-03-16,9.86
2020-03-17,9.42
2020-03-18,9.5
2020-03-19,9.2
2020-03-20,9.6
2020-03-23,9.24
2020-03-24,9.44
2020-03-25,9.68
2020-03-26,9.67
2020-03-27,9.4
2020-03-30,9.23
2020-03-31,9.25
2020-04-01,9.1
2020-04-06,9.11
2020-04-07,9.26
2020-04-08,9.66
2020-04-09,10.25
2020-04-10,10.2
2020-04-13,10.05
2020-04-14,10.15
2020-04-15,10.35
2020-04-16,10.3
2020-04-17,10.25
2020-04-20,10.1
2020-04-21,9.88
2020-04-22,9.88
2020-04-23,10.05
2020-04-24,9.94
2020-04-27,10.2
2020-04-28,10.55
2020-04-29,10.7
2020-04-30,11.1
2020-05-04,10.75
2020-05-05,10.65
2020-05-06,10.55
2020-05-07,10.6
2020-05-08,10.55
2020-05-11,10.75
2020-05-12,10.5
2020-05-13,10.6
2020-05-14,10.35
2020-05-15,10.45
2020-05-18,10.7
2020-05-19,10.7
2020-05-20,10.75
2020-05-21,11
2020-05-22,10.75
2020-05-25,10.75
2020-05-26,10.95
2020-05-27,10.85
2020-05-28,10.9
2020-05-29,10.9
2020-06-01,11.2
2020-06-02,11.25
2020-06-03,11.3
2020-06-04,11.25
2020-06-05,11.4
2020-06-08,11.35
2020-06-09,11.3
2020-06-10,11.25
2020-06-11,10.95
2020-06-12,10.85
2020-06-15,10.75
2020-06-16,11.25
2020-06-17,11.25
2020-06-18,11
2020-06-19,10.8
2020-06-22,10.75
2020-06-23,10.75
2020-06-24,10.75
2020-06-29,10.75
2020-06-30,10.75
2020-07-01,10.85
2020-07-02,10.8
2020-07-03,11.15
2020-07-06,11.15
2020-07-07,11.25
2020-07-08,11.15
2020-07-09,11.05
2020-07-10,10.75
2020-07-13,10.8
2020-07-14,10.7
2020-07-15,10.85
2020-07-16,11.05
2020-07-17,10.85
2020-07-20,10.8
2020-07-21,10.95
2020-07-22,10.95
2020-07-23,10.85
2020-07-24,10.7
2020-07-27,10.8
2020-07-28,10.7
2020-07-29,10.95
2020-07-30,11.05
2020-07-31,11
2020-08-03,11.05
2020-08-04,11.1
2020-08-05,11.05
2020-08-06,11.15
2020-08-07,11.4
2020-08-10,12.5
2020-08-11,12.45
2020-08-12,12.2
2020-08-13,12.35
2020-08-14,13.55
2020-08-17,14.9
2020-08-18,15.2
2020-08-19,15.4
2020-08-20,15
2020-08-21,15.2
2020-08-24,15.2
2020-08-25,16.3
2020-08-26,16.45
2020-08-27,16.25
2020-08-28,16.35
2020-08-31,17.4
2020-09-01,17.2
2020-09-02,17.6
2020-09-03,18.2
2020-09-04,18.8
2020-09-07,18.8
